  % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0
  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0

  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0

  0 2400M    0  328k    0     0   427k      0  1:35:47 --:--:--  1:35:47  427k
  0 2400M    0 1832k    0     0  1036k      0  0:39:30  0:00:01  0:39:29 1504k
  0 2400M    0 3400k    0     0  1228k      0  0:33:20  0:00:02  0:33:18 1536k
  0 2400M    0 4888k    0     0  1297k      0  0:31:34  0:00:03  0:31:31 1520k
  0 2400M    0 6456k    0     0  1341k      0  0:30:32  0:00:04  0:30:28 1514k
  0 2400M    0 7976k    0     0  1383k      0  0:29:36  0:00:05  0:29:31 1529k
  0 2400M    0 9433k    0     0  1394k      0  0:29:22  0:00:06  0:29:16 1520k
  0 2400M    0 10.6M    0     0  1406k      0  0:29:07  0:00:07  0:29:00 1504k
  0 2400M    0 12.0M    0     0  1408k      0  0:29:05  0:00:08  0:28:57 1491k
  0 2400M    0 13.4M    0     0  1404k      0  0:29:09  0:00:09  0:29:00 1466k
  0 2400M    0 14.6M    0     0  1394k      0  0:29:22  0:00:10  0:29:12 1408k
  0 2400M    0 16.0M    0     0  1399k      0  0:29:15  0:00:11  0:29:04 1408k
  0 2400M    0 17.5M    0     0  1403k      0  0:29:10  0:00:12  0:28:58 1400k
  0 2400M    0 18.9M    0     0  1406k      0  0:29:07  0:00:13  0:28:54 1403k
  0 2400M    0 20.3M    0     0  1410k      0  0:29:02  0:00:14  0:28:48 1420k
  0 2400M    0 21.8M    0     0  1412k      0  0:28:59  0:00:15  0:28:44 1450k
  0 2400M    0 23.2M    0     0  1422k      0  0:28:47  0:00:16  0:28:31 1476k
  1 2400M    1 24.7M    0     0  1424k      0  0:28:45  0:00:17  0:28:28 1476k
  1 2400M    1 26.1M    0     0  1426k      0  0:28:42  0:00:18  0:28:24 1483k
  1 2400M    1 27.5M    0     0  1429k      0  0:28:39  0:00:19  0:28:20 1486k
